01. 🙏 @ Nam-mô tát đát tha # 如來 | Tathāgata | तथागत — Trở về với Như Lai là trở về chân tâm: rỗng rang mà sáng, thương khắp chúng sinh.
02. Tô già đa da # 善逝 | Sugata | सुगत — Tô già đa da nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
03. A ra ha đế # 應供 | Arhat | अर्हत् — A ra ha đế dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
04. Tam-miệu tam bồ đà tỏa # 正等覺 | Samyaksaṃbuddha | सम्यक्संबुद्ध — Tam-miệu tam bồ đà tỏa nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
05. Tát đát tha # 如是 | Tathatā | तथता — Như thị là thấy các pháp đúng như thật: không thêm chấp, không mất lòng từ.
06. Phật đà cu tri sắc ni sam # 佛頂 | Buddhoṣṇīṣa | बुद्धोष्णीष — Phật đà cu tri sắc ni sam là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
07. Nam-mô tát bà # 一切 | Sarva | सर्व — Nam-mô tát bà nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
08. Bột đà bột địa # 菩提 | Bodhi | बोधि — Bồ-đề lớn lên khi tôi học tính không, bỏ tà niệm và thương người đang mê.
09. Tát đa bệ tệ # 覺有情 | Bodhisattva | बोधिसत्त्व — Tát đa bệ tệ nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
10. Nam-mô tát đa nẩm # 眾生 | Sattva | सत्त्व — Nam-mô tát đa nẩm là hạnh Bồ-tát: thấy người khổ thì lòng mềm, thấy tà mê thì tâm sáng.
11. Tam-miệu tam bồ đà # 正覺 | Samyakbodhi | सम्यक्बोधि — Tam-miệu tam bồ đà là ngọn đèn giúp tôi phân biệt chánh tà mà không sinh kiêu mạn.
12. Cu tri nẩm # 無量 | Apramāṇa | अप्रमाण — Cu tri nẩm giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
13. 🙏 Ta xá ra bà ca # 聲聞 | Śrāvaka | श्रावक — Ta xá ra bà ca nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
14. Tăng già nẩm # 僧眾 | Saṅgha | सङ्घ — Tăng già nẩm đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
15. Nam-mô lô kê A-La-Hán đa nẩm. # 世間阿羅漢 | Lokārhat | लोकार्हत् — Nam-mô lô kê A-La-Hán đa nẩm dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
16. Nam-mô tô lô đa ba na nẩm. # 預流果 | Srotāpanna | स्रोतापन्न — Nam-mô tô lô đa ba na nẩm là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
17. Nam-mô ta yết rị đà dà di nẩm. # 一來果 | Sakṛdāgāmin | सकृदागामिन् — Nam-mô ta yết rị đà dà di nẩm đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
18. Nam-mô lô kê tam-miệu dà đa nẩm. # 四果聖者 | Āryaphala | आर्यफल — Nam-mô lô kê tam-miệu dà đa nẩm dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
19. Tam-miệu dà ba ra # 正行 | Samyak-caryā | सम्यक्-चर्या — Tam-miệu dà ba ra nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
20. Ðể ba đa na nẩm. # 真實住 | Tattvasthiti | तत्त्वस्थिति — Ðể ba đa na nẩm nhắc tôi quán tất cả pháp không tự tánh, nên buông được mới thật bình an.
21. Nam-mô đề bà ly sắc nỏa. # 超色界 | Rūpātīta | रूपातीत — Nam-mô đề bà ly sắc nỏa nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
22. Nam-mô tất đà da # 成就 | Siddhi | सिद्धि — Nam-mô tất đà da là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
23. Tỳ địa da # 智慧 | Vidyā | विद्या — Tỳ địa da mở con mắt tuệ: cảnh đến cảnh đi, tánh thấy không theo sinh diệt.
24. Ðà ra ly sắc nỏa. # 不染 | Anupalipta | अनुपलिप्त — Ðà ra ly sắc nỏa nhắc tôi quán tất cả pháp không tự tánh, nên buông được mới thật bình an.
